Skater,Country Represented,Score,Country of Competition,Discipline,Season,Home Competition?
Adam Siao Him Fa,FR,217.52,US,Men,2021-2022,False
Adam Siao Him Fa,FR,243.29,FR,Men,2021-2022,True
Adam Siao Him Fa,FR,268.98,FR,Men,2022-2023,True
Adam Siao Him Fa,FR,250.45,JP,Men,2022-2023,False
Adam Siao Him Fa,FR,306.78,FR,Men,2023-2024,True
Adam Siao Him Fa,FR,298.38,CN,Men,2023-2024,False
Alaine Chartrand,CA,155.49,US,Women,2018-2019,False
Alaine Chartrand,CA,172.17,CA,Women,2018-2019,True
Alexander Samarin,RU,265.10,FR,Men,2019-2020,False
Alexander Samarin,RU,264.45,RU,Men,2019-2020,True
Alexandra Trusova,RU,241.02,CA,Women,2019-2020,False
Alexandra Trusova,RU,234.47,RU,Women,2019-2020,True
Alexei Krasnozhon,US,216.59,US,Men,2019-2020,True
Alexei Krasnozhon,US,216.28,RU,Men,2019-2020,False
Alina Zagitova,RU,215.29,FI,Women,2018-2019,False
Alina Zagitova,RU,222.95,RU,Women,2018-2019,True
Amber Glenn,US,169.63,US,Women,2019-2020,True
Amber Glenn,US,178.35,CN,Women,2019-2020,False
Amber Glenn,US,201.02,US,Women,2021-2022,True
Amber Glenn,US,175.83,JP,Women,2021-2022,False
Amber Glenn,US,197.61,US,Women,2022-2023,True
Amber Glenn,US,169.36,JP,Women,2022-2023,False
Amber Glenn,US,189.63,US,Women,2023-2024,True
Amber Glenn,US,185.39,FI,Women,2023-2024,False
Andrei Lazukin,RU,218.22,FI,Men,2018-2019,False
Andrei Lazukin,RU,215.78,RU,Men,2018-2019,True
Boikova / Kozlovskii,RU,216.71,CA,Pairs,2019-2020,False
Boikova / Kozlovskii,RU,229.48,RU,Pairs,2019-2020,True
Boyang Jin,CN,224.98,US,Men,2019-2020,False
Boyang Jin,CN,261.53,CN,Men,2019-2020,True
Boyang Jin,CN,226.79,FR,Men,2023-2024,False
Boyang Jin,CN,237.28,CN,Men,2023-2024,True
Bradie Tennell,US,192.89,US,Women,2018-2019,True
